Survived,Age,SibSp,Parch,Fare,Master.,Miss.,Mr.,Mrs.,Other,CabinNo,A_CABIN,B_CABIN,C_CABIN,D_CABIN,E_CABIN,F_CABIN,G_CABIN,T_CABIN,InCabin,class_1,class_2,class_3,C,Q,S,female,male,FamilyAboard,IsAlone
0,22.0,1,0,7.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,1,False
1,38.0,1,0,71.2833,0,0,0,1,0,85,0,0,1,0,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,26.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,35.0,1,0,53.1,0,0,0,1,0,123,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,1,False
0,35.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,36.46166108500672,0,0,8.4583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,0,True
0,54.0,0,0,51.8625,0,0,1,0,0,46,0,0,0,0,1,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,2.0,3,1,21.075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,4,False
1,27.0,0,2,11.1333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,2,False
1,14.0,1,0,30.0708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,1,0,1,False
1,4.0,1,1,16.7,0,1,0,0,0,6,0,0,0,0,0,0,1,0,True,0,0,1,0,0,1,1,0,2,False
1,58.0,0,0,26.55,0,1,0,0,0,103,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,0,True
0,20.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,39.0,1,5,31.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,6,False
0,14.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,55.0,0,0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
0,2.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,5,False
1,23.107288287210793,0,0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,31.0,1,0,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
1,20.594040324631923,0,0,7.225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,0,True
0,35.0,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
1,34.0,0,0,13.0,0,0,1,0,0,56,0,0,0,1,0,0,0,0,True,0,1,0,0,0,1,0,1,0,True
1,15.0,0,0,8.0292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
1,28.0,0,0,35.5,0,0,1,0,0,6,1,0,0,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,8.0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,4,False
1,38.0,1,5,31.3875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,6,False
0,24.831475435461538,0,0,7.225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,19.0,3,2,263.0,0,0,1,0,0,27,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,5,False
1,21.499004027239785,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,39.61882764053007,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,40.0,0,0,27.7208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,0,True
1,42.84663206424854,1,0,146.5208,0,0,0,1,0,78,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,31.199413122521275,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,66.0,0,0,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,28.0,1,0,82.1708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,1,False
0,42.0,1,0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,1,1,False
1,27.219009369983045,0,0,7.2292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,21.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,18.0,2,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,2,False
1,14.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,1,False
0,40.0,1,0,9.475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,27.0,1,0,21.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,20.11329691523988,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
1,3.0,1,2,41.5792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,1,0,3,False
1,19.0,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,6.961808066014175,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,36.79892604968739,1,0,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,1,False
1,64.64934188574973,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,44.72291298194526,2,0,21.6792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,2,False
0,18.0,1,0,17.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,7.0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,5,False
0,21.0,0,0,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,49.0,1,0,76.7292,0,0,0,1,0,33,0,0,0,1,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,29.0,1,0,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,65.0,0,1,61.9792,0,0,1,0,0,30,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,1,False
1,24.773022448536413,0,0,35.5,0,0,1,0,0,52,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
1,21.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
0,28.5,0,0,7.2292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
1,5.0,1,2,27.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,3,False
0,11.0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,7,False
0,22.0,0,0,7.2292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,45.0,1,0,83.475,0,0,1,0,0,83,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,1,False
0,4.0,3,2,27.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,5,False
0,25.972602366962622,0,0,27.7208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,0,True
1,28.03813573715046,1,1,15.2458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,2,False
1,29.0,0,0,10.5,0,0,0,1,0,33,0,0,0,0,0,1,0,0,True,0,1,0,0,0,1,1,0,0,True
0,19.0,0,0,8.1583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,17.0,4,2,7.925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,6,False
0,26.0,2,0,8.6625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,2,False
0,32.0,0,0,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,16.0,5,2,46.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,7,False
0,21.0,0,0,73.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,26.0,1,0,14.4542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,1,False
1,32.0,0,0,56.4958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,25.0,0,0,7.65,0,0,1,0,0,73,0,0,0,0,0,0,1,0,True,0,0,1,0,0,1,0,1,0,True
0,8.47419876661321,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,39.66527184325804,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,0.83,0,2,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,2,False
1,30.0,0,0,12.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
0,22.0,0,0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,29.0,0,0,9.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,15.182874314775868,0,0,7.7875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,28.0,0,0,47.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,1,0,True
1,17.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
1,33.0,3,0,15.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,3,False
0,16.0,1,3,34.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,4,False
0,33.740801948225645,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,23.0,3,2,263.0,0,1,0,0,0,27,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,5,False
0,24.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,29.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,20.0,0,0,7.8542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,46.0,1,0,61.175,0,0,1,0,0,31,0,0,0,0,1,0,0,0,True,1,0,0,0,0,1,0,1,1,False
0,26.0,1,2,20.575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,3,False
0,59.0,0,0,7.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,6.49289393814497,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,71.0,0,0,34.6542,0,0,1,0,0,5,1,0,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,0,True
1,23.0,0,1,63.3583,0,0,1,0,0,12,0,0,0,1,0,0,0,0,True,1,0,0,1,0,0,0,1,1,False
1,34.0,0,1,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,34.0,1,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,1,False
0,28.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
0,35.367881090429826,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,21.0,0,1,77.2875,0,0,1,0,0,26,0,0,0,1,0,0,0,0,True,1,0,0,0,0,1,0,1,1,False
0,33.0,0,0,8.6542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,37.0,2,0,7.925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,2,False
0,28.0,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,21.0,0,0,7.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,48.6757421078198,0,0,7.775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,38.0,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,36.93990072223256,1,0,24.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,1,False
0,47.0,0,0,52.0,0,0,1,0,0,110,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,14.5,1,0,14.4542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,1,False
0,22.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,20.0,1,0,9.825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,17.0,0,0,14.4583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,0,True
0,21.0,0,0,7.925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,70.5,0,0,7.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,0,True
0,29.0,1,0,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,1,False
0,24.0,0,1,247.5208,0,0,1,0,0,60,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,1,False
0,2.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,6,False
0,21.0,2,0,73.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,2,False
0,27.272646902230118,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,32.5,1,0,30.0708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,0,1,1,False
1,32.5,0,0,13.0,0,1,0,0,0,101,0,0,0,0,1,0,0,0,True,0,1,0,0,0,1,1,0,0,True
0,54.0,0,1,77.2875,0,0,1,0,0,26,0,0,0,1,0,0,0,0,True,1,0,0,0,0,1,0,1,1,False
1,12.0,1,0,11.2417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,1,False
0,3.9278113309607683,0,0,7.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,0,True
1,24.0,0,0,7.1417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,33.72253208444059,1,1,22.3583,0,1,0,0,0,69,0,0,0,0,1,0,0,0,True,0,0,1,1,0,0,1,0,2,False
0,45.0,0,0,6.975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,33.0,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,20.0,0,0,7.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,47.0,1,0,14.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
1,29.0,1,0,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,25.0,0,0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,23.0,0,0,15.0458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,0,1,0,True
1,19.0,0,2,26.2833,0,1,0,0,0,47,0,0,0,1,0,0,0,0,True,1,0,0,0,0,1,1,0,2,False
0,37.0,1,0,53.1,0,0,1,0,0,123,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,1,False
0,16.0,0,0,9.2167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,24.0,0,0,79.2,0,0,1,0,0,86,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,0,True
0,33.323970234347016,0,2,15.2458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,2,False
1,22.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,24.0,1,0,15.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,19.0,0,0,6.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,0,True
0,18.0,0,0,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,19.0,1,1,36.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,2,False
1,27.0,0,0,7.7958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,9.0,2,2,34.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,4,False
0,36.5,0,2,26.0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,True,0,1,0,0,0,1,0,1,2,False
0,42.0,0,0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,51.0,0,0,12.525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
1,22.0,1,0,66.6,0,0,0,1,0,2,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,1,False
0,55.5,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,40.5,0,2,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,2,False
0,27.18135190081325,0,0,7.3125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,51.0,0,1,61.3792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,1,False
1,16.0,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,30.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,19.380052892403455,0,0,8.6625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,29.69911764705882,8,2,69.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,10,False
0,44.0,0,1,16.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,1,False
1,40.0,0,0,15.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
0,26.0,0,0,7.775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,17.0,0,0,8.6625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,1.0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,5,False
1,9.0,0,2,20.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,2,False
1,28.803868754286423,0,1,55.0,0,0,0,1,0,33,0,0,0,0,1,0,0,0,True,1,0,0,0,0,1,1,0,1,False
0,45.0,1,4,27.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,5,False
0,19.443966476483048,0,0,25.925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,1,0,True
0,28.0,0,0,56.4958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,61.0,0,0,33.5,0,0,1,0,0,19,0,1,0,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,4.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,5,False
1,1.0,1,1,11.1333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,2,False
0,21.0,0,0,7.925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,56.0,0,0,30.6958,0,0,1,0,0,7,1,0,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,0,True
0,18.0,1,1,7.8542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,2,False
